Date,DJIA_Close,DJIA_Volume,NASDAQ_Close,NASDAQ_Volume,SP_Close,SP_Volume,R2000_Close,R2000_Volume,week,debt,stocks,restaurant,inflation,economics,portfolio,housing,dow_jones,credit,revenue,investment,return,markets,unemployment,growth,hedge,money,derivatives,leverage,MMM_Close,MMM_Volume,AXP_Close,AXP_Volume,APPL_Close,APPL_Volume,BA_Close,BA_Volume,CAT_Close,CAT_Volume,CVX_Close,CVX_Volume,CSCO_Close,CSCO_Volume,KO_Close,KO_Volume,DIS_Close,DIS_Volume,XOM_Close,XOM_Volume,GE_Close,GE_Volume,GS_Close,GS_Volume,HD_Close,HD_Voume,IBM_Close,IBM_Volume,INTC_Close,INTC_Volume,JNJ_Close,JNJ_Volume,JPM_Close,JPM_Volume,MCD_Close,MCD_Volume,MRK_Close,MRK_Volume,MSFT_Close,MSFT_Volume,NKE_Close,NKE_Volume,PFE_Close,PFE_Volume,PG_Close,PG_Volume,TRV_Close,TRV_Volume,UNH_Close,UNH_Volume,UTX_Close,UTX_Volume,VZ_Close,VZ_Volume,WMT_Close,WMT_Volume
1/2/04,10409.84961,168890000,2006.680054,1666780000,1108.47998,1153200000,560.849976,11532000,,,,,,,,,,,,,,,,,,,,,83.370003,2591700,,,,,,,,,,,,,,,,,,,,,97.129997,3042300,,,,,,,,,36.619999,9280500,24.790001,4576400,47.049999,11139900,27.450001,44487700,8.45125,8716800,35.549999,16566900,49.494999,5544600,39.599998,1036000,29.52,6243600,47.18,3227600,31.701128,8096200,52.299999,8793900
1/5/04,10544.07031,221290000,2047.359985,2362910000,1122.219971,1578200000,568.919983,15782000,1/4/04,87,97,70,78,79,93,89,91,91,27,94,100,83,100,94,79,99,62,49,84.959999,2985200,42.1632,4229400,1.583571,98754600,42.07,4115500,42.450001,6184200,43.775002,4926400,24.77,38892100,25.205,9740200,23.806705,10511900,41.580002,14668100,31.58,19598900,97.18,4817700,35.029999,11405100,93.050003,5276300,32.91,42611900,51.959999,8433800,36.549999,9715400,25.030001,5455000,48,11923500,28.139999,67333700,8.44375,11897600,36.5,30691700,49.740002,6723600,39.700001,835900,28.1,16714000,47.465,3031000,32.618435,16917900,52.119999,13451400
1/6/04,10538.66016,191460000,2057.370117,2273220000,1123.670044,1494500000,569.890015,14945000,,,,,,,,,,,,,,,,,,,,,84.699997,2983100,42.233227,4138900,1.577857,127337000,41.93,2515800,41.700001,6190400,43.535,7413600,25.059999,43684400,25.1,8223200,23.865877,9590900,41.299999,12364400,31.370001,16464000,96.599998,4077800,35.41,8845200,93.059998,4380000,32.900002,38007600,51.73,7298000,37.470001,21209800,25.33,5231300,47.77,7982900,28.24,46950800,8.43625,14474400,36.48,23187900,49.490002,5560800,39.400002,1025600,28.389999,8181800,47.345001,3754200,33.158031,11114400,53.34,13314500
1/7/04,10529.03027,225490000,2077.679932,2294280000,1126.329956,1704900000,574.619995,17049000,,,,,,,,,,,,,,,,,,,,,83.239998,4293600,42.355766,4480600,1.613571,146718600,42.279999,4219200,41.244999,6203200,42.98,8500200,25.559999,48757500,24.940001,10242800,24.260355,9883800,41,13561500,31.68,18573600,98.629997,4457800,35.900002,9236900,92.779999,4927600,33.990002,63665000,51.75,7279200,38.02,14472600,25.41,6675100,47.830002,9785600,28.209999,54298200,8.465,13283200,36.790001,16769100,49.049999,7057000,39.400002,1800600,28.655001,5916400,47.5,3413200,32.879238,10416100,53.48,12228900
1/8/04,10592.44043,237770000,2100.25,2683950000,1131.920044,1868400000,579.619995,18684000,,,,,,,,,,,,,,,,,,,,,82.68,3489300,42.233227,6395400,1.668571,115075800,42.860001,3114600,40.924999,4844400,43.025002,6397400,26.34,61683300,25.059999,9070800,24.615385,9706100,40.900002,14608300,32.25,27010800,98.75,3687800,35.599998,10918400,93.040001,6179800,34.240002,50596000,51.990002,6464900,38.669998,11834300,25.5,5282400,48.080002,7665000,28.16,58810800,8.55,15288000,36.450001,18046600,49.564999,9246200,39.650002,2450800,28.715,5619200,47.445,3793200,33.382862,10160400,53.259998,13433600
1/9/04,10458.88965,223250000,2086.919922,2482760000,1121.859985,1720700000,575.200012,17207000,,,,,,,,,,,,,,,,,,,,,82.400002,3310600,41.918118,4529000,1.642857,106864800,42.639999,4080900,40.224998,6068600,42.560001,8581800,26.48,68856400,24.795,13127800,24.526627,7514500,40.290001,15826200,31.799999,24000200,97.5,3297300,35.689999,8280000,91.209999,7930900,33.970001,56841100,51.400002,6427300,38.759998,10569000,25.15,4583000,47.130001,8805500,27.66,67079900,8.48375,6572000,36.060001,15920300,49.82,9342200,40.310001,1750000,28.455,4552400,46.759998,4035400,32.411591,9437500,52.400002,11081500
1/12/04,10485.17969,197960000,2111.780029,2284010000,1127.22998,1510200000,583.01001,15102000,1/11/04,95,99,77,89,90,96,84,83,90,30,100,89,95,95,94,78,99,73,63,83.169998,2841300,41.751808,5739700,1.695,121886800,42.41,2449200,41.224998,4166200,42.349998,6554200,27.030001,52871900,25.004999,9204400,24.536489,6526000,40.860001,10321800,32.09,18626300,97.779999,2844700,35.200001,10170700,91.550003,5130400,34.150002,50664500,52.389999,10459500,38.790001,7044400,25.110001,5013800,45.900002,13222900,27.57,55845200,8.60625,10994400,35.610001,19076100,50.125,8234000,41.48,2173800,28.35,4224400,46.474998,4498000,33.032124,8129900,52.509998,8949500
1/13/04,10427.17969,197310000,2096.439941,2385700000,1121.219971,1595900000,581.159973,15959000,,,,,,,,,,,,,,,,,,,,,82.879997,2159700,41.900612,4184500,1.722857,169754200,42.240002,2383600,41.25,5228200,42.349998,5363400,26.889999,56334200,24.855,8906000,24.339251,11996500,40.68,9365500,31.610001,26726300,97.669998,3257500,35.080002,8871800,89.699997,8842500,33.59,68191900,52.25,7402800,38.900002,7205200,24.639999,5628300,45.669998,8497800,27.43,51555900,8.6375,10189600,35.139999,20785400,49.849998,6653600,41.759998,1787900,28.254999,5563000,46.700001,4602800,32.897228,8752300,52.759998,8477100
1/14/04,10538.37012,186280000,2111.129883,2099970000,1130.52002,1514600000,586.119995,15146000,,,,,,,,,,,,,,,,,,,,,83.699997,2088300,42.670876,6077200,1.728571,155010800,43.110001,2968000,41.849998,4498000,42.799999,4140000,27.4,42293600,24.9,7565200,24.556213,13038900,40.68,8539500,32,16448300,99.379997,4243200,35.470001,9344700,90.309998,5505100,33.389999,75452000,52,6410600,39.220001,8672300,25.07,6205000,46.290001,6105300,27.700001,43907000,8.6475,7680800,35.150002,21959300,50.014999,6104200,41.959999,1471300,28.99,5012800,47.924999,4327400,33.149036,6319900,53.139999,7812600
1/15/04,10553.84961,260090000,2109.080078,2235590000,1132.050049,1695000000,586.359985,16950000,,,,,,,,,,,,,,,,,,,,,84.300003,2599600,43.484905,7942600,1.632143,254552200,43.040001,2353500,41.689999,3720600,42.215,6490400,27.16,46099400,24.865,9990200,24.477318,9033100,40.279999,10256500,32,19820000,101.139999,8331000,35.43,9006100,94.019997,19812000,33.060001,82565000,51.84,7112400,38.919998,50329900,25.15,5403900,45.93,6438400,27.540001,58504100,8.63125,10619200,34.82,17939000,49.755001,5900600,41.93,1405000,29.15,6498800,47.700001,5439000,33.167023,8471500,53.490002,10128000
